nome,raca,genero
"WILDER MORAIS","Branco","Homem"
"JEFERSON RODRIGUES","Pardo","Homem"
"MARUSSA BOLDRIN","Branco","Mulher"
"MAGDA MOFATTO","Branco","Mulher"
"ADRIANO DO BALDY","Branco","Homem"
"DELEGADA ADRIANA ACCORSI","Branco","Mulher"
"LDA BORGES","Branco","Mulher"
"GLAUSTIN DA FOKUS","Branco","Homem"
"DR ISMAEL ALEXANDRINO","Branco","Homem"
"ANDR JANONES","Branco","Homem"
"ANA PIMENTEL","Branco","Mulher"
"NEWTON CARDOSO JR","Branco","Homem"
"IGOR TIMO","Pardo","Homem"
"CLIA XAKRIAB","IND�GENA","Mulher"
"WELITON PRADO","Pardo","Homem"
"EMIDINHO MADEIRA","Branco","Homem"
"MARCELO LVARO ANTNIO","Branco","Homem"
"JUNIO AMARAL","Branco","Homem"
"BRUNO FARIAS","Branco","Homem"
"DIEGO ANDRADE","Branco","Homem"
"EUCLYDES PETTERSEN","Branco","Homem"
"Z SILVA","Branco","Homem"
"PADRE JOO","Branco","Homem"
"RODRIGO DE CASTRO","Branco","Homem"
"ANA PAULA JUNQUEIRA LEAO","Branco","Mulher"
"DUDA SALABERT","Branco","Mulher"
"REGINALDO LOPES","Branco","Homem"
"DANDARA","Preto","Mulher"
"NIKOLAS FERREIRA","Branco","Homem"
"ROSNGELA REIS","Branco","Mulher"
"DR FREDERICO","Branco","Homem"
"STEFANO AGUIAR","Branco","Homem"
"DIMAS FABIANO","Branco","Homem"
"PATRUS ANANIAS","Branco","Homem"
"PAULO ABIACKEL","Branco","Homem"
"EROS BIONDINI","Branco","Homem"
"SAMUEL VIANA","Pardo","Homem"
"LAFAYETTE ANDRADA","Branco","Homem"
"GILBERTO ABRAMO","Branco","Homem"
"GREYCE ELIAS","Branco","Mulher"
"LUIZ FERNANDO","Branco","Homem"
"MISAEL VARELLA","Branco","Homem"
"DR MRIO HERINGER","Branco","Homem"
"ODAIR CUNHA","Branco","Homem"
"HERCILIO COELHO DINIZ","Pardo","Homem"
